epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,164.813,1.53855,1.05624,0.84736,0.5946,0.56802,0.57337,0.32454,1.5558,1.94104,0.84621,0.0011882,0.0011882,0.0011882
43,168.338,1.5441,1.04825,0.8961,0.79965,0.41935,0.49155,0.27503,1.58562,2.24185,0.86112,0.0011684,0.0011684,0.0011684
44,171.815,1.63767,1.11109,0.86727,0.79794,0.3871,0.43918,0.27472,1.51524,2.35214,0.85662,0.0011486,0.0011486,0.0011486
45,175.373,1.66381,1.08876,0.86379,0.82592,0.3871,0.46222,0.29385,1.54084,2.26247,0.86051,0.0011288,0.0011288,0.0011288
46,179.086,1.52178,0.97615,0.86523,0.84953,0.3871,0.44919,0.29272,1.57996,2.33883,0.86148,0.001109,0.001109,0.001109
47,182.6,1.44502,0.93278,0.83459,0.90605,0.3871,0.46724,0.27869,1.63669,2.60424,0.87742,0.0010892,0.0010892,0.0010892
48,186.088,1.58214,1.02374,0.87019,0.90032,0.3871,0.45532,0.24371,1.72447,2.71289,0.89317,0.0010694,0.0010694,0.0010694
49,189.616,1.62977,1.00146,0.86596,0.88919,0.3871,0.46743,0.26967,1.71918,2.60458,0.89167,0.0010496,0.0010496,0.0010496
50,193.469,1.6648,1.04581,0.84554,0.89875,0.3871,0.50196,0.31736,1.64681,2.38311,0.873,0.0010298,0.0010298,0.0010298
51,197.72,1.59328,0.93702,0.8301,0.66655,0.48387,0.54501,0.31287,1.6948,2.32518,0.86871,0.00101,0.00101,0.00101
52,202.28,1.55016,1.03365,0.82588,0.81057,0.41935,0.52913,0.29938,1.6569,2.4466,0.85828,0.0009902,0.0009902,0.0009902
53,206.279,1.63131,0.98725,0.864,0.77864,0.41935,0.51499,0.31232,1.62218,2.41821,0.85079,0.0009704,0.0009704,0.0009704
54,209.797,1.60279,0.99663,0.86744,0.90659,0.41935,0.53391,0.31702,1.5624,2.39134,0.84629,0.0009506,0.0009506,0.0009506
55,213.367,1.58656,0.94466,0.8806,0.81424,0.41935,0.48665,0.28483,1.69526,2.60053,0.87325,0.0009308,0.0009308,0.0009308
56,216.955,1.5506,0.95645,0.86035,0.78882,0.41935,0.4769,0.28165,1.64422,2.57356,0.86195,0.000911,0.000911,0.000911
57,220.492,1.48551,0.90415,0.8407,0.90176,0.3871,0.49786,0.30574,1.56355,2.70924,0.84928,0.0008912,0.0008912,0.0008912
58,223.916,1.5134,0.87972,0.85259,0.805,0.41935,0.53635,0.3377,1.68058,2.88868,0.8821,0.0008714,0.0008714,0.0008714
59,227.373,1.45341,0.87688,0.83445,0.80226,0.41935,0.55401,0.37756,1.68204,2.84461,0.88503,0.0008516,0.0008516,0.0008516
60,230.812,1.53746,0.85771,0.86134,0.90323,0.3871,0.50422,0.34179,1.71201,2.89001,0.89272,0.0008318,0.0008318,0.0008318
61,234.245,1.4866,0.91286,0.85696,0.8885,0.3871,0.48315,0.32891,1.6797,2.93127,0.89404,0.000812,0.000812,0.000812
62,237.738,1.47506,0.90977,0.83038,0.88791,0.3871,0.47239,0.32577,1.58875,2.97656,0.87852,0.0007922,0.0007922,0.0007922
63,241.268,1.46223,0.83594,0.85365,0.89179,0.3871,0.47886,0.29997,1.53247,2.83739,0.86092,0.0007724,0.0007724,0.0007724
64,244.667,1.45385,0.80176,0.85138,0.88743,0.3871,0.48497,0.30805,1.54018,2.80757,0.86025,0.0007526,0.0007526,0.0007526
65,248.101,1.48031,0.82417,0.82907,0.89292,0.3871,0.48306,0.28947,1.6001,2.89957,0.86404,0.0007328,0.0007328,0.0007328
66,251.583,1.60161,0.85659,0.84336,0.91129,0.3871,0.50757,0.30415,1.61675,2.88895,0.86712,0.000713,0.000713,0.000713
67,255.017,1.5487,0.88056,0.8372,0.917,0.3871,0.52479,0.31945,1.63489,2.75906,0.86383,0.0006932,0.0006932,0.0006932
68,258.461,1.53913,0.8684,0.84271,0.86248,0.41935,0.51979,0.33493,1.56261,2.7402,0.85545,0.0006734,0.0006734,0.0006734
69,261.903,1.54953,0.86923,0.84047,0.86567,0.41598,0.50509,0.33218,1.53962,2.8551,0.85832,0.0006536,0.0006536,0.0006536
70,265.367,1.50739,0.81154,0.86687,0.87845,0.3871,0.4912,0.3164,1.60696,3.01001,0.86976,0.0006338,0.0006338,0.0006338
71,268.867,1.5552,0.80627,0.86554,0.8925,0.3871,0.49587,0.29888,1.65529,3.0627,0.87949,0.000614,0.000614,0.000614
72,272.321,1.34419,0.79069,0.83656,0.90479,0.3871,0.48313,0.28689,1.66797,3.09185,0.87728,0.0005942,0.0005942,0.0005942
73,275.862,1.43492,0.80851,0.84211,0.91159,0.3871,0.50337,0.30275,1.66083,2.99189,0.87478,0.0005744,0.0005744,0.0005744
74,279.363,1.44383,0.76673,0.83819,0.90907,0.3871,0.5042,0.27721,1.57335,2.74462,0.85144,0.0005546,0.0005546,0.0005546
75,282.842,1.44292,0.79015,0.84989,0.91521,0.41935,0.53556,0.32336,1.46481,2.45647,0.83357,0.0005348,0.0005348,0.0005348
76,286.346,1.4375,0.7825,0.85621,0.9059,0.41935,0.53916,0.35874,1.43295,2.40739,0.83427,0.000515,0.000515,0.000515
77,289.862,1.39711,0.76146,0.85175,0.66447,0.51124,0.5355,0.31564,1.47351,2.50828,0.83683,0.0004952,0.0004952,0.0004952
78,293.307,1.33066,0.70638,0.84489,0.86483,0.41935,0.52403,0.30421,1.50196,2.57376,0.84135,0.0004754,0.0004754,0.0004754
79,296.803,1.45258,0.80849,0.8453,0.66583,0.51426,0.53116,0.33996,1.47772,2.55492,0.83936,0.0004556,0.0004556,0.0004556
80,300.323,1.47806,0.75103,0.83998,0.85283,0.41935,0.5156,0.31691,1.51363,2.64112,0.84593,0.0004358,0.0004358,0.0004358
81,303.827,1.60409,0.8745,0.83126,0.86333,0.41935,0.51113,0.32862,1.58088,2.80932,0.85596,0.000416,0.000416,0.000416
82,307.412,1.45021,0.79251,0.82251,0.7539,0.41935,0.50355,0.31578,1.60977,2.85388,0.8648,0.0003962,0.0003962,0.0003962
83,310.906,1.41642,0.72103,0.8542,0.85265,0.3871,0.47905,0.29198,1.61947,2.94813,0.86858,0.0003764,0.0003764,0.0003764
84,314.343,1.41667,0.74758,0.83837,0.85652,0.3871,0.46094,0.29225,1.57637,3.00022,0.86756,0.0003566,0.0003566,0.0003566
85,317.837,1.46704,0.77455,0.83784,0.85539,0.3871,0.42963,0.28525,1.54937,3.13214,0.86549,0.0003368,0.0003368,0.0003368
86,321.433,1.34784,0.74888,0.84285,0.85705,0.3871,0.42125,0.29076,1.56462,3.13673,0.86825,0.000317,0.000317,0.000317
87,325.125,1.39996,0.71381,0.84287,0.87195,0.3871,0.41909,0.28296,1.59074,3.17258,0.87068,0.0002972,0.0002972,0.0002972
88,328.692,1.43823,0.71343,0.85799,0.8786,0.3871,0.42936,0.28456,1.58964,3.19103,0.86941,0.0002774,0.0002774,0.0002774
89,332.152,1.39883,0.7061,0.81921,0.86307,0.3871,0.42845,0.28914,1.56832,3.20908,0.86931,0.0002576,0.0002576,0.0002576
90,335.643,1.27388,0.74708,0.82557,0.85584,0.3871,0.43142,0.29217,1.5349,3.22747,0.86488,0.0002378,0.0002378,0.0002378
91,372.442,1.4233,0.97301,0.84588,0.85234,0.3871,0.428,0.29689,1.49426,3.169,0.86528,0.000218,0.000218,0.000218
92,375.948,1.45986,0.89546,0.80536,0.84766,0.3871,0.41891,0.28773,1.56103,3.19126,0.86482,0.0001982,0.0001982,0.0001982
93,379.382,1.36439,0.84499,0.82644,0.83634,0.3871,0.41915,0.28138,1.57707,3.18365,0.86037,0.0001784,0.0001784,0.0001784
94,383.125,1.48954,0.92254,0.82065,0.81292,0.3871,0.42856,0.27509,1.60458,3.17218,0.86837,0.0001586,0.0001586,0.0001586
95,387.034,1.54731,1.03018,0.82667,0.78206,0.3871,0.43064,0.26397,1.62267,3.15897,0.87334,0.0001388,0.0001388,0.0001388
96,390.597,1.35735,0.84723,0.84285,0.77269,0.3871,0.43411,0.26996,1.64735,3.13223,0.87848,0.000119,0.000119,0.000119
97,394.108,1.39074,0.82865,0.85056,0.77638,0.3871,0.42943,0.28268,1.63041,3.12241,0.8787,9.92e-05,9.92e-05,9.92e-05
98,397.616,1.54762,0.90977,0.85268,0.7742,0.3871,0.42964,0.27587,1.61827,3.12712,0.86952,7.94e-05,7.94e-05,7.94e-05
99,401.146,1.39681,1.01786,0.8803,0.75701,0.3871,0.43695,0.26478,1.65874,3.10245,0.87314,5.96e-05,5.96e-05,5.96e-05
100,404.629,1.38586,0.84296,0.85531,0.75434,0.3871,0.43982,0.28301,1.63911,3.09969,0.87218,3.98e-05,3.98e-05,3.98e-05
